TimeStamp,ON/OFF,Power_W,Current,Sauna Temperature,Humidity,Steam,Water Temperature,Cost,Price_EUR_kWh,T_set
2023-01-12 23:21:30.312543,0.0,65.94,0.29,47.2,99.9,10.55,58.03,2.692845223637333e-06,0.12415999999999999,47
2023-01-12 23:21:31.502633,0.0,66.43,0.29,47.2,99.9,11.77,57.78,2.726611496497778e-06,0.12415999999999999,47
2023-01-12 23:21:32.686735,0.0,63.2,0.27,47.1,99.9,11.43,57.86,2.580984498062223e-06,0.12415999999999999,47
2023-01-12 23:21:33.876793,0.0,67.59,0.29,47.1,99.9,10.04,57.86,2.7741489640319996e-06,0.12415999999999999,47
2023-01-12 23:21:35.061207,0.0,68.02,0.3,47.2,99.9,11.48,57.78,2.778557335879111e-06,0.12415999999999999,47
2023-01-12 23:21:36.250728,0.0,67.89,0.3,47.2,99.9,10.23,57.7,2.7852047384640005e-06,0.12415999999999999,47
2023-01-12 23:21:37.434454,0.0,65.17,0.28,47.2,99.9,10.18,57.46,2.660590958840889e-06,0.12415999999999999,47
2023-01-12 23:21:38.624151,0.0,64.08,0.28,47.2,99.9,11.09,57.62,2.6292874754559997e-06,0.12415999999999999,47
2023-01-12 23:21:39.808370,0.0,62.6,0.27,47.2,99.9,10.28,57.86,2.5567340841955558e-06,0.12415999999999999,47
2023-01-12 23:21:40.997782,0.0,64.83,0.28,47.2,99.9,10.79,57.7,2.659423735509333e-06,0.12415999999999999,47
2023-01-12 23:21:42.182313,0.0,63.84,0.28,47.2,99.9,11.5,57.86,2.6080656095573334e-06,0.12415999999999999,47
2023-01-12 23:21:43.371697,0.0,65.35,0.28,47.2,99.9,9.65,57.86,2.6806918068622217e-06,0.12415999999999999,47
2023-01-12 23:21:44.557338,0.0,65.5,0.28,47.2,99.9,10.94,57.7,2.6783893665777775e-06,0.12415999999999999,47
2023-01-12 23:21:45.736024,0.0,64.64,0.28,47.2,99.9,9.84,57.86,2.6277175164017777e-06,0.12415999999999999,47
2023-01-12 23:21:46.920045,0.0,64.37,0.28,47.2,99.9,9.62,57.78,2.6285855579342224e-06,0.12415999999999999,47
2023-01-12 23:21:48.100781,0.0,65.52,0.28,47.2,99.9,8.91,57.7,2.668123308032e-06,0.12415999999999999,47
2023-01-12 23:21:49.274786,0.0,64.11,0.28,47.2,99.9,10.55,57.46,2.59582210608e-06,0.12415999999999999,47
2023-01-12 23:21:50.454031,0.0,66.77,0.29,47.2,99.9,9.3,57.62,2.715592639662222e-06,0.12415999999999999,47
2023-01-12 23:21:51.638703,0.0,66.61,0.29,47.2,99.9,9.38,57.86,2.721552777329778e-06,0.12415999999999999,47
2023-01-12 23:21:52.818172,0.0,66.85,0.29,47.2,99.9,9.08,57.86,2.719362758062222e-06,0.12415999999999999,47
2023-01-12 23:21:53.992261,0.0,63.75,0.28,47.2,99.9,10.55,57.38,2.5814303479999995e-06,0.12415999999999999,47
2023-01-12 23:21:55.172696,0.0,64.44,0.28,47.2,99.9,8.57,57.78,2.6234742918399996e-06,0.12415999999999999,47
2023-01-12 23:21:56.355972,0.0,66.78,0.29,47.2,99.9,9.26,57.86,2.7252834183680004e-06,0.12415999999999999,47
2023-01-12 23:21:57.534956,0.0,65.97,0.29,47.2,99.9,9.74,57.46,2.682462124288e-06,0.12415999999999999,47
2023-01-12 23:21:58.708901,0.0,67.75,0.29,47.2,99.9,10.53,57.46,2.7430659746666667e-06,0.12415999999999999,47
2023-01-12 23:21:59.888793,0.0,72.41,0.31,47.2,99.9,8.6,57.7,2.9465920116764437e-06,0.12415999999999999,47
2023-01-12 23:22:01.072335,0.0,70.27,0.31,47.2,99.9,9.82,57.54,2.8683545404373335e-06,0.12415999999999999,47
2023-01-12 23:22:02.250101,0.0,69.67,0.3,47.2,99.9,9.74,57.62,2.829984302343111e-06,0.12415999999999999,47
2023-01-12 23:22:03.424336,0.0,66.89,0.29,47.2,99.9,9.01,57.78,2.7089152631288888e-06,0.12415999999999999,47
2023-01-12 23:22:04.602186,0.0,67.0,0.29,47.2,99.9,8.38,57.46,2.721723431111111e-06,0.12415999999999999,47
2023-01-12 23:22:05.775974,0.0,66.65,0.29,47.2,99.9,8.33,57.06,2.6981682166755555e-06,0.12415999999999999,47
2023-01-12 23:22:06.954560,0.0,68.8,0.3,47.2,99.9,8.33,57.54,2.7965907660799995e-06,0.12415999999999999,47
2023-01-12 23:22:08.128432,0.0,69.66,0.3,47.2,99.9,10.01,57.3,2.8202227845119994e-06,0.12415999999999999,47
2023-01-12 23:22:09.307125,0.0,66.66,0.29,47.2,99.9,8.06,57.14,2.7098497819946665e-06,0.12415999999999999,47
2023-01-12 23:22:10.490060,0.0,69.65,0.3,47.2,99.9,9.3,57.62,2.8415886246222226e-06,0.12415999999999999,47
2023-01-12 23:22:11.668855,0.0,69.51,0.3,47.2,99.9,9.33,57.06,2.825951972853333e-06,0.12415999999999999,47
2023-01-12 23:22:12.841728,0.0,69.18,0.3,47.2,99.9,8.33,57.38,2.798406169450667e-06,0.12415999999999999,47
2023-01-12 23:22:14.020722,0.0,71.28,0.31,47.2,99.9,7.99,57.46,2.8984011217919997e-06,0.12415999999999999,47
2023-01-12 23:22:15.194414,0.0,72.9,0.32,47.2,99.9,7.89,57.46,2.9509433740799997e-06,0.12415999999999999,47
2023-01-12 23:22:16.372508,0.0,73.51,0.32,47.2,99.9,8.03,57.14,2.986796061930667e-06,0.12415999999999999,47
2023-01-12 23:22:17.546959,0.0,74.13,0.32,47.2,99.9,9.4,57.38,3.002673459594666e-06,0.12415999999999999,47
2023-01-12 23:22:18.724463,0.0,74.44,0.32,47.2,99.9,9.16,57.46,3.0230682960782223e-06,0.12415999999999999,47
